🔫｜浙江,#genre#
CCTV4,http://27.10.103.34:8003/udp/225.0.4.176:7980
CCTV5,http://27.10.103.34:8003/udp/225.0.4.143:7980
CCTV5,http://27.10.103.34:8003/udp/225.0.4.73:7980
CCTV6,http://27.10.103.34:8003/udp/225.0.4.144:7980
CCTV7,http://27.10.103.34:8003/udp/225.0.4.127:7980
CCTV1,http://27.10.103.34:8001/udp/225.0.4.74:7980
CCTV10,http://27.10.103.34:8001/udp/225.0.4.130:7980
CCTV11,http://27.10.103.34:8001/udp/225.0.4.218:7980
CCTV12,http://27.10.103.34:8001/udp/225.0.4.129:7980
CCTV14,http://27.10.103.34:8001/udp/225.0.4.128:7980
CCTV15,http://27.10.103.34:8001/udp/225.0.4.220:7980
CCTV17,http://27.10.103.34:8001/udp/225.0.4.179:7980
CCTV2,http://27.10.103.34:8001/udp/225.0.4.132:7980
CCTV3,http://27.10.103.34:8001/udp/225.0.4.142:7980
CCTV4,http://27.10.103.34:8001/udp/225.0.4.176:7980
CCTV5,http://27.10.103.34:8001/udp/225.0.4.143:7980
CCTV5,http://27.10.103.34:8001/udp/225.0.4.73:7980
CCTV6,http://27.10.103.34:8001/udp/225.0.4.144:7980
CCTV7,http://27.10.103.34:8001/udp/225.0.4.127:7980
CCTV9,http://27.10.103.34:8001/udp/225.0.4.131:7980
CCTV1,http://27.10.103.34:8005/udp/225.0.4.74:7980
CCTV10,http://27.10.103.34:8005/udp/225.0.4.130:7980
CCTV11,http://27.10.103.34:8005/udp/225.0.4.218:7980
CCTV12,http://27.10.103.34:8005/udp/225.0.4.129:7980
CCTV13,http://27.10.103.34:8005/udp/225.0.4.219:7980
CCTV14,http://27.10.103.34:8005/udp/225.0.4.128:7980
CCTV15,http://27.10.103.34:8005/udp/225.0.4.220:7980
CCTV17,http://27.10.103.34:8005/udp/225.0.4.179:7980
CCTV2,http://27.10.103.34:8005/udp/225.0.4.132:7980
CCTV3,http://27.10.103.34:8005/udp/225.0.4.142:7980
CCTV4,http://27.10.103.34:8005/udp/225.0.4.176:7980
CCTV5,http://27.10.103.34:8005/udp/225.0.4.143:7980
CCTV6,http://27.10.103.34:8005/udp/225.0.4.144:7980
CCTV7,http://27.10.103.34:8005/udp/225.0.4.127:7980
CCTV9,http://27.10.103.34:8005/udp/225.0.4.131:7980
CCTV1,http://117.66.231.62:2000/rtp/238.1.78.166:7200
